,x,y,"f(x, y)"
0,-4.753249820147073,4.97474725246539,-0.40764665708556624
1,1.3815954257438552,4.31445797629514,-0.7522107271361124
2,-3.2141464223703147,-4.1972437070506405,0.4367044264916413
3,-3.2141464223703147,-4.133942898583934,0.43473859342244464
4,-2.360842431098952,6.716113611329178,-0.5315018630518062
5,6.2639965538436755,6.3101590414014606,-0.3713527534003335
6,-2.360842431098952,-2.1758913840538696,0.38750006809865406
7,-2.360842431098952,5.912261825240639,-0.556410384331224
8,-4.9875373727588785,5.751583335795788,-0.4010157598673874
9,3.96129399862534,5.335215344281373,-0.5341425056780905
10,3.6236478197557593,-3.997946273831606,0.6841398719047908
11,3.6236478197557593,0.07773184841901415,0.08956596414017624
